Date,fiscal_year,fiscal_quarter,season,week_of_year,division,department,net_sales,units,transactions,avg_unit_retail,gross_margin_dollars,gross_margin_pct,markdown_dollars,markdown_pct,has_promo,promo_depth,promo_events
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Equipment,Camping & Hiking,2531250.0,18750,13125,135.0,556875.0,0.22,632812.5,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Equipment,Cycling,1312500.0,5000,3500,262.5,236250.0,0.18,328125.0,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Equipment,Climbing,450000.0,5000,3500,90.0,108000.0,0.24,112500.0,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Equipment,Water Sports,4218750.0,12500,8750,337.5,843750.0,0.2,1054687.5,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Equipment,Snow Sports,300000.0,1000,700,300.0,60000.0,0.2,75000.0,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Apparel & Footwear,Mens Apparel,318750.0,5000,3500,63.75,95625.0,0.3,79687.5,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Apparel & Footwear,Womens Apparel,318750.0,5000,3500,63.75,102000.0,0.32,79687.5,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Apparel & Footwear,Footwear,525000.0,5000,3500,105.0,147000.0,0.28,131250.0,0.25,True,0.25,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Apparel & Footwear,Accessories,168750.0,5000,3500,33.75,59062.5,0.35,42187.5,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Equipment,Camping & Hiking,2531250.0,18750,13125,135.0,556875.0,0.22,632812.5,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Equipment,Cycling,1312500.0,5000,3500,262.5,236250.0,0.18,328125.0,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Equipment,Climbing,450000.0,5000,3500,90.0,108000.0,0.24,112500.0,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Equipment,Water Sports,4218750.0,12500,8750,337.5,843750.0,0.2,1054687.5,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Equipment,Snow Sports,300000.0,1000,700,300.0,60000.0,0.2,75000.0,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Apparel & Footwear,Mens Apparel,318750.0,5000,3500,63.75,95625.0,0.3,79687.5,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Apparel & Footwear,Womens Apparel,318750.0,5000,3500,63.75,102000.0,0.32,79687.5,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Apparel & Footwear,Footwear,525000.0,5000,3500,105.0,147000.0,0.28,131250.0,0.25,True,0.25,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Apparel & Footwear,Accessories,168750.0,5000,3500,33.75,59062.5,0.35,42187.5,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Equipment,Camping & Hiking,2531250.0,18750,13125,135.0,556875.0,0.22,632812.5,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Equipment,Cycling,1312500.0,5000,3500,262.5,236250.0,0.18,328125.0,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Equipment,Climbing,450000.0,5000,3500,90.0,108000.0,0.24,112500.0,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Equipment,Water Sports,4218750.0,12500,8750,337.5,843750.0,0.2,1054687.5,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Equipment,Snow Sports,300000.0,1000,700,300.0,60000.0,0.2,75000.0,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Apparel & Footwear,Mens Apparel,318750.0,5000,3500,63.75,95625.0,0.3,79687.5,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Apparel & Footwear,Womens Apparel,318750.0,5000,3500,63.75,102000.0,0.32,79687.5,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Apparel & Footwear,Footwear,525000.0,5000,3500,105.0,147000.0,0.28,131250.0,0.25,True,0.25,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Apparel & Footwear,Accessories,168750.0,5000,3500,33.75,59062.5,0.35,42187.5,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Equipment,Camping & Hiking,2531250.0,18750,13125,135.0,556875.0,0.22,632812.5,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Equipment,Cycling,1312500.0,5000,3500,262.5,236250.0,0.18,328125.0,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Equipment,Climbing,450000.0,5000,3500,90.0,108000.0,0.24,112500.0,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Equipment,Water Sports,4218750.0,12500,8750,337.5,843750.0,0.2,1054687.5,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Equipment,Snow Sports,300000.0,1000,700,300.0,60000.0,0.2,75000.0,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Apparel & Footwear,Mens Apparel,318750.0,5000,3500,63.75,95625.0,0.3,79687.5,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Apparel & Footwear,Womens Apparel,318750.0,5000,3500,63.75,102000.0,0.32,79687.5,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Apparel & Footwear,Footwear,525000.0,5000,3500,105.0,147000.0,0.28,131250.0,0.25,True,0.25,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Apparel & Footwear,Accessories,168750.0,5000,3500,33.75,59062.5,0.35,42187.5,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Equipment,Camping & Hiking,2531250.0,18750,13125,135.0,556875.0,0.22,632812.5,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Equipment,Cycling,1312500.0,5000,3500,262.5,236250.0,0.18,328125.0,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Equipment,Climbing,450000.0,5000,3500,90.0,108000.0,0.24,112500.0,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Equipment,Water Sports,4218750.0,12500,8750,337.5,843750.0,0.2,1054687.5,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Outdoor Equipment,Snow Sports,300000.0,1000,700,300.0,60000.0,0.2,75000.0,0.25,True,0.25,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Apparel & Footwear,Mens Apparel,318750.0,5000,3500,63.75,95625.0,0.3,79687.5,0.25,True,0.25,Winter Clearance
