Date,fiscal_year,fiscal_quarter,season,week_of_year,marketing_channel,spend,has_promo,promo_events
2021-01-03,2021,Q1,Spring/Summer,53,TV,112529.26,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Paid Search,97999.14,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Paid Social,26933.43,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Display,22885.82,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Email,24651.67,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Direct Mail,20258.81,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Catalog,29229.23,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Outdoor Media,25875.64,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Radio,22153.26,True,Winter Clearance
2021-01-03,2021,Q1,Spring/Summer,53,Influencer,29147.66,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,TV,111223.29,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Paid Search,101272.97,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Paid Social,22724.77,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Display,27746.03,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Email,21805.07,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Direct Mail,29783.19,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Catalog,26045.81,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Outdoor Media,26920.22,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Radio,26191.58,True,Winter Clearance
2021-01-10,2021,Q1,Spring/Summer,1,Influencer,21080.93,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,TV,119690.2,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Paid Search,85895.98,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Paid Social,20599.98,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Display,20789.33,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Email,28614.86,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Direct Mail,23208.27,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Catalog,27774.62,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Outdoor Media,24272.67,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Radio,20330.88,True,Winter Clearance
2021-01-17,2021,Q1,Spring/Summer,2,Influencer,28114.55,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,TV,119315.54,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Paid Search,110585.36,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Paid Social,27943.58,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Display,20150.22,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Email,26612.58,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Direct Mail,22001.5,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Catalog,21318.39,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Outdoor Media,28358.55,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Radio,29465.21,True,Winter Clearance
2021-01-24,2021,Q1,Spring/Summer,3,Influencer,27446.91,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,TV,108475.3,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Paid Search,114585.11,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Paid Social,22034.62,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Display,27661.83,True,Winter Clearance
2021-01-31,2021,Q1,Spring/Summer,4,Email,24028.56,True,Winter Clearance
