Store_id,store_grade,region,climate_zone,format,square_footage,open_date
S0001,A,Southwest,Warm,Urban,42156,2015-01-01
S0002,A,Midwest,Temperate,Resort,45230,2015-01-01
S0003,A,Southeast,Warm,Urban,36491,2015-01-01
S0004,A,Midwest,Temperate,Resort,48716,2015-01-01
S0005,A,Midwest,Temperate,Resort,41874,2015-01-01
S0006,A,Mountain,Cold,Suburban,38765,2015-01-01
S0007,A,Mountain,Cold,Resort,40778,2015-01-01
S0008,A,Southwest,Warm,Resort,39932,2015-01-01
S0009,A,West,Temperate,Resort,47427,2015-01-01
S0010,A,Southwest,Warm,Suburban,43370,2015-01-01
S0011,A,Southeast,Warm,Urban,35988,2015-01-01
S0012,A,Mountain,Cold,Resort,47781,2015-01-01
S0013,A,Southeast,Warm,Suburban,41263,2015-01-01
S0014,A,Southwest,Warm,Urban,45041,2015-01-01
S0015,A,Southwest,Warm,Urban,45918,2015-01-01
S0016,A,Northeast,Cold,Urban,45613,2015-01-01
S0017,A,Southeast,Warm,Urban,46234,2015-01-01
S0018,A,Southwest,Warm,Suburban,40649,2015-01-01
S0019,A,Southwest,Warm,Resort,42083,2015-01-01
S0020,A,Southwest,Warm,Urban,44412,2015-01-01
S0021,A,Southwest,Warm,Resort,44182,2015-01-01
S0022,A,Southeast,Warm,Resort,41463,2015-01-01
S0023,A,Mountain,Cold,Urban,35159,2015-01-01
S0024,A,Mountain,Cold,Resort,44688,2015-01-01
S0025,A,Midwest,Temperate,Suburban,35019,2015-01-01
S0026,A,Southwest,Warm,Suburban,44905,2015-01-01
S0027,A,Mountain,Cold,Urban,47873,2015-01-01
S0028,B,Midwest,Temperate,Suburban,21831,2015-01-01
S0029,B,Southwest,Warm,Resort,17697,2015-01-01
S0030,B,Northeast,Cold,Suburban,33352,2015-01-01
S0031,B,Southeast,Warm,Resort,13126,2015-01-01
S0032,B,Southwest,Warm,Resort,33702,2015-01-01
S0033,B,Midwest,Temperate,Resort,17837,2015-01-01
S0034,B,West,Temperate,Urban,17243,2015-01-01
S0035,B,Mountain,Cold,Urban,12551,2015-01-01
S0036,B,Midwest,Temperate,Urban,31914,2015-01-01
S0037,B,Mountain,Cold,Urban,19946,2015-01-01
S0038,B,Southeast,Warm,Resort,16562,2015-01-01
S0039,B,Midwest,Temperate,Resort,15214,2015-01-01
S0040,B,Southwest,Warm,Suburban,21605,2015-01-01
S0041,B,Southwest,Warm,Suburban,22461,2015-01-01
S0042,B,Mountain,Cold,Resort,22463,2015-01-01
S0043,B,Midwest,Temperate,Resort,18189,2015-01-01
S0044,B,West,Temperate,Resort,15183,2015-01-01
S0045,B,Mountain,Cold,Suburban,31214,2015-01-01
S0046,B,Southwest,Warm,Urban,13644,2015-01-01
S0047,B,Southwest,Warm,Urban,29618,2015-01-01
S0048,B,Southwest,Warm,Resort,34492,2015-01-01
S0049,B,Southwest,Warm,Resort,26689,2015-01-01
S0050,B,Northeast,Cold,Resort,32267,2015-01-01
S0051,B,Southwest,Warm,Urban,22122,2015-01-01
S0052,B,West,Temperate,Resort,30577,2015-01-01
S0053,B,Midwest,Temperate,Urban,15640,2015-01-01
S0054,B,Southwest,Warm,Suburban,26319,2015-01-01
S0055,B,Midwest,Temperate,Resort,27012,2015-01-01
S0056,B,Midwest,Temperate,Urban,12852,2015-01-01
S0057,B,Midwest,Temperate,Resort,27756,2015-01-01
S0058,B,Midwest,Temperate,Resort,34079,2015-01-01
S0059,B,Northeast,Cold,Resort,28004,2015-01-01
S0060,B,Midwest,Temperate,Urban,33890,2015-01-01
S0061,B,Midwest,Temperate,Suburban,22563,2015-01-01
S0062,B,West,Temperate,Resort,12797,2015-01-01
S0063,B,West,Temperate,Resort,16487,2015-01-01
S0064,B,Southwest,Warm,Resort,30892,2015-01-01
S0065,B,Southeast,Warm,Resort,20698,2015-01-01
S0066,B,Mountain,Cold,Urban,15997,2015-01-01
S0067,B,Midwest,Temperate,Resort,31714,2015-01-01
S0068,B,Southeast,Warm,Urban,14627,2015-01-01
S0069,B,West,Temperate,Urban,21255,2015-01-01
S0070,B,Southeast,Warm,Resort,22758,2015-01-01
S0071,B,Southeast,Warm,Suburban,16101,2015-01-01
S0072,B,Northeast,Cold,Resort,14209,2015-01-01
S0073,B,Southwest,Warm,Resort,22811,2015-01-01
S0074,B,Southwest,Warm,Suburban,27895,2015-01-01
S0075,B,Northeast,Cold,Suburban,28988,2015-01-01
S0076,B,Southeast,Warm,Suburban,26008,2015-01-01
S0077,B,Northeast,Cold,Urban,27911,2015-01-01
S0078,B,Mountain,Cold,Suburban,32300,2015-01-01
S0079,B,Northeast,Cold,Resort,31383,2015-01-01
S0080,B,Northeast,Cold,Urban,32009,2015-01-01
S0081,B,Southeast,Warm,Urban,17220,2015-01-01
S0082,B,West,Temperate,Resort,28044,2015-01-01
S0083,C,Mountain,Cold,Resort,25708,2015-01-01
S0084,C,Mountain,Cold,Resort,20094,2015-01-01
S0085,C,West,Temperate,Suburban,23044,2015-01-01
S0086,C,West,Temperate,Resort,20730,2015-01-01
S0087,C,Northeast,Cold,Urban,28207,2015-01-01
S0088,C,Southwest,Warm,Urban,18534,2015-01-01
S0089,C,West,Temperate,Urban,30275,2015-01-01
S0090,C,West,Temperate,Resort,34149,2015-01-01
S0091,C,Mountain,Cold,Urban,17150,2015-01-01
S0092,C,Southeast,Warm,Suburban,18195,2015-01-01
S0093,C,Mountain,Cold,Urban,26985,2015-01-01
S0094,C,Mountain,Cold,Resort,15235,2015-01-01
S0095,C,West,Temperate,Urban,22905,2015-01-01
S0096,C,Northeast,Cold,Suburban,20223,2015-01-01
S0097,C,Midwest,Temperate,Resort,29191,2015-01-01
S0098,C,West,Temperate,Resort,25159,2015-01-01
S0099,C,Northeast,Cold,Resort,22176,2015-01-01
S0100,C,Southwest,Warm,Urban,17080,2015-01-01
S0101,C,Southeast,Warm,Suburban,18555,2015-01-01
S0102,C,Midwest,Temperate,Urban,25976,2015-01-01
S0103,C,Southeast,Warm,Suburban,34887,2015-01-01
S0104,C,Southeast,Warm,Resort,31838,2015-01-01
S0105,C,West,Temperate,Suburban,16764,2015-01-01
S0106,C,Northeast,Cold,Urban,20956,2015-01-01
S0107,C,Northeast,Cold,Suburban,12173,2015-01-01
S0108,C,Midwest,Temperate,Suburban,23814,2015-01-01
S0109,C,Mountain,Cold,Suburban,31922,2015-01-01
S0110,C,Southeast,Warm,Resort,29282,2015-01-01
S0111,C,Southwest,Warm,Resort,21599,2015-01-01
S0112,C,Southeast,Warm,Suburban,28340,2015-01-01
S0113,C,Northeast,Cold,Resort,21146,2015-01-01
S0114,C,Northeast,Cold,Suburban,29716,2015-01-01
S0115,C,Mountain,Cold,Resort,21826,2015-01-01
S0116,C,Midwest,Temperate,Resort,25150,2015-01-01
S0117,C,Southwest,Warm,Suburban,21696,2015-01-01
S0118,C,Midwest,Temperate,Urban,20024,2015-01-01
S0119,C,Southwest,Warm,Suburban,15874,2015-01-01
S0120,C,Mountain,Cold,Suburban,17175,2015-01-01
S0121,C,Northeast,Cold,Urban,26213,2015-01-01
S0122,C,Southwest,Warm,Urban,30368,2015-01-01
S0123,C,Northeast,Cold,Suburban,24395,2015-01-01
S0124,C,Mountain,Cold,Urban,33174,2015-01-01
S0125,C,Southwest,Warm,Suburban,14371,2015-01-01
S0126,C,Mountain,Cold,Suburban,33923,2015-01-01
S0127,C,Midwest,Temperate,Urban,26107,2015-01-01
S0128,C,Mountain,Cold,Resort,22676,2015-01-01
S0129,C,Northeast,Cold,Urban,21392,2015-01-01
S0130,C,Southwest,Warm,Resort,21484,2015-01-01
S0131,C,Southeast,Warm,Resort,15703,2015-01-01
S0132,C,Southwest,Warm,Resort,32260,2015-01-01
S0133,C,Midwest,Temperate,Urban,34792,2015-01-01
S0134,C,West,Temperate,Resort,20085,2015-01-01
S0135,C,Southwest,Warm,Suburban,20119,2015-01-01
S0136,C,Southwest,Warm,Suburban,22091,2015-01-01
S0137,C,Southeast,Warm,Suburban,13232,2015-01-01
S0138,C,Southwest,Warm,Resort,30944,2015-01-01
S0139,C,Mountain,Cold,Urban,18092,2015-01-01
S0140,C,Southwest,Warm,Urban,31061,2015-01-01
S0141,C,Northeast,Cold,Urban,20261,2015-01-01
S0142,C,Southeast,Warm,Urban,14155,2015-01-01
S0143,C,West,Temperate,Resort,30239,2015-01-01
S0144,C,Southwest,Warm,Resort,26298,2015-01-01
S0145,C,Southwest,Warm,Urban,31207,2015-01-01
S0146,C,Southwest,Warm,Urban,22701,2015-01-01
S0147,D,Northeast,Cold,Resort,16476,2015-01-01
S0148,D,Northeast,Cold,Suburban,13513,2015-01-01
S0149,D,Southeast,Warm,Resort,19452,2015-01-01
S0150,D,West,Temperate,Suburban,28493,2015-01-01
S0151,D,Mountain,Cold,Urban,12060,2015-01-01
S0152,D,Northeast,Cold,Urban,18659,2015-01-01
S0153,D,Southeast,Warm,Resort,29845,2015-01-01
S0154,D,West,Temperate,Urban,34880,2015-01-01
S0155,D,Southwest,Warm,Urban,26576,2015-01-01
S0156,D,Southwest,Warm,Resort,15638,2015-01-01
S0157,D,Southwest,Warm,Resort,28652,2015-01-01
S0158,D,Northeast,Cold,Suburban,21886,2015-01-01
S0159,D,Mountain,Cold,Resort,15338,2015-01-01
S0160,D,Southwest,Warm,Urban,22841,2015-01-01
S0161,D,Northeast,Cold,Urban,20858,2015-01-01
S0162,D,West,Temperate,Urban,27439,2015-01-01
S0163,D,Southwest,Warm,Suburban,34263,2015-01-01
S0164,D,Midwest,Temperate,Suburban,22358,2015-01-01
S0165,D,West,Temperate,Urban,27944,2015-01-01
S0166,D,Northeast,Cold,Suburban,27919,2015-01-01
S0167,D,Southeast,Warm,Suburban,20683,2015-01-01
S0168,D,Northeast,Cold,Urban,24979,2015-01-01
S0169,D,Southeast,Warm,Suburban,33311,2015-01-01
S0170,D,Midwest,Temperate,Urban,21997,2015-01-01
S0171,D,Southeast,Warm,Suburban,26422,2015-01-01
